nome,url
"vip","https://wiki.pokememories.com/images/itens/vip.png"
"zangoose","https://wiki.pokememories.com/images/pokemons/zangoose.png"
"premierball","https://wiki.pokememories.com/images/itens/premierball.png"
"heracross","https://wiki.pokememories.com/images/pokemons/heracross.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"kangaskhan","https://wiki.pokememories.com/images/pokemons/kangaskhan.png"
"pokemonegg","https://wiki.pokememories.com/images/itens/pokemonegg.png"
"sugarcane","https://wiki.pokememories.com/images/pokemons/sugarcane.png"
"dreamball","https://wiki.pokememories.com/images/itens/dreamball.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"shinygloom","https://wiki.pokememories.com/images/pokemons/pokebola.png"
"addonbox","https://wiki.pokememories.com/images/itens/addonbox.png"
"ursaring","https://wiki.pokememories.com/images/pokemons/ursaring.png"
"pikachuwomanoutfit","https://wiki.pokememories.com/images/itens/pikachuwomanoutfit.png"
"tds","https://wiki.pokememories.com/images/itens/tds.png"
"xp","https://wiki.pokememories.com/images/tasks/xp.webp"
"vip","https://wiki.pokememories.com/images/itens/vip.png"
"gible","https://wiki.pokememories.com/images/pokemons/gible.png"
"incubator","https://wiki.pokememories.com/images/itens/incubator.png"
